Metal,CR,IR,Lms,D,Morphology,SSA,Dap,Rct,Molarity,Cation,Anion,CD,Cs
Mo,1.54,0.69,2.41,6.15,1,19.5,,1.4,1.0,3,3,2.0,141.0
Mo,1.54,0.69,2.41,6.15,1,19.5,,1.4,1.0,3,3,3.0,130.0
Mo,1.54,0.69,2.41,6.15,1,19.5,,1.4,1.0,3,3,5.0,119.0
Mo,1.54,0.69,2.41,6.15,1,19.5,,1.4,1.0,3,3,7.0,113.0
Mo,1.54,0.69,2.41,6.15,1,19.5,,1.4,1.0,3,3,10.0,105.0
Mo,1.54,0.69,2.41,6.15,1,19.5,,1.4,1.0,3,3,15.0,95.0
Mo,1.54,0.69,2.41,6.15,1,19.5,,1.4,1.0,3,3,20.0,86.0
Mo,1.54,0.69,2.41,6.15,2,22.0,,0.58,1.0,4,3,0.5,148.0
Mo,1.54,0.69,2.41,6.15,2,22.0,,0.58,1.0,4,3,1.0,136.0
Mo,1.54,0.69,2.41,6.15,2,22.0,,0.58,1.0,4,3,2.0,123.0
Mo,1.54,0.69,2.41,6.15,2,22.0,,0.58,1.0,4,3,5.0,113.0
Mo,1.54,0.69,2.41,6.15,2,22.0,,0.58,1.0,4,3,10.0,102.0
Mo,1.54,0.69,2.41,6.15,2,22.0,,0.58,1.0,4,3,20.0,97.0
Mo,1.54,0.69,2.41,6.15,2,22.0,,0.58,1.0,4,3,30.0,94.0
Mo,1.54,0.69,2.41,6.15,4,31.5,,28.0,1.0,3,3,0.5,106.0
Mo,1.54,0.69,2.41,6.15,4,31.5,,28.0,1.0,3,3,6.0,41.2
Mo,1.54,0.69,2.41,6.15,1,18.68,,,1.0,1,2,0.5,178.0
Mo,1.54,0.69,2.41,6.15,1,18.68,,,1.0,1,2,1.0,168.0
Mo,1.54,0.69,2.41,6.15,1,18.68,,,1.0,1,2,2.0,159.0
Mo,1.54,0.69,2.41,6.15,1,18.68,,,1.0,1,2,4.0,148.0
Mo,1.54,0.69,2.41,6.15,2,21.1,,3.1,1.0,3,3,1.0,129.2
Mo,1.54,0.69,2.41,6.15,2,21.1,,3.1,1.0,3,3,1.5,115.1
Mo,1.54,0.69,2.41,6.15,2,21.1,,3.1,1.0,3,3,3.0,102.3
Mo,1.54,0.69,2.41,6.15,2,21.1,,3.1,1.0,3,3,5.0,92.0
Mo,1.54,0.69,2.41,6.15,2,21.1,,3.1,1.0,3,3,10.0,73.8
