CR,Lms,Morphology,SSA,Molarity,Cation,Anion,CD,Cs,Cs_Class
1.54,2.41,2,22.0,1.0,4,3,2.0,123.0,II
1.54,2.41,2,22.0,1.0,4,3,5.0,113.0,II
1.54,2.41,2,22.0,1.0,4,3,10.0,102.0,II
1.54,2.41,2,22.0,1.0,4,3,20.0,97.0,I
1.54,2.41,2,22.0,1.0,4,3,30.0,94.0,I
1.54,2.41,4,31.5,1.0,3,3,0.5,106.0,II
1.54,2.41,4,31.5,1.0,3,3,6.0,41.2,I
1.54,2.41,1,18.68,1.0,1,2,0.5,178.0,II
1.54,2.41,1,18.68,1.0,1,2,1.0,168.0,II
1.54,2.41,1,18.68,1.0,1,2,2.0,159.0,II
1.54,2.41,1,18.68,1.0,1,2,4.0,148.0,II
1.54,2.41,2,21.1,1.0,3,3,1.0,129.2,II
1.54,2.41,2,21.1,1.0,3,3,1.5,115.1,II
1.54,2.41,2,21.1,1.0,3,3,3.0,102.3,II
1.54,2.41,2,21.1,1.0,3,3,5.0,92.0,I
1.54,2.41,2,21.1,1.0,3,3,10.0,73.8,I
